Designator,Mid X,Mid Y,Rotation,Layer
24V1,138.611954,-106.711954,45.0,top
3V3,141.9,-110.0,45.0,top
C1,110.1,-118.0,270.0,top
C2,108.8,-109.2,0.0,top
C3,107.9,-118.0,270.0,top
C4,104.9,-117.9,0.0,top
C5,97.6625,-119.7,0.0,top
C6,97.7,-122.0,0.0,top
D1,83.2,-111.7,225.0,top
GND1,145.188047,-113.288047,45.0,top
J1,131.2,-120.84,0.0,top
J3,96.22,-108.2,90.0,top
J4,144.60394948289297,-130.69605051710707,315.0,top
J5,83.49605148289295,-128.99605148289294,225.0,top
Q1,119.709999,-118.181,270.0,top
Q2,119.709999,-124.535,270.0,top
Q3,121.4625,-109.197,90.0,top
Q4,122.215001,-133.501,90.0,top
R1,97.7,-117.5,0.0,top
R2,101.8,-118.4,90.0,top
R3,100.3625,-126.5,180.0,top
R4,112.9,-125.4,180.0,top
R5,101.0,-123.2,90.0,top
R6,97.7,-124.2,0.0,top
R7,86.1,-113.0,225.0,top
U1_2,105.723,-122.837501,180.0,top
U1,104.675,-133.529,180.0,top
U2,115.65,-120.88,0.0,bottom
U3_2,98.0,-133.9,0.0,top
U3,91.752,-133.85,0.0,top
VR1,108.7,-102.229999,180.0,top
